Province,2009,2010,2011,2012,2013
"('Federal', 'General/M&P/Investment')",19.0,18.0,16.5,15.0,15.0
"('British Columbia', 'General/M&P/Investment')",11.0,10.5,10.0,10.0,10.0
"('Alberta', 'General/M&P/Investment')",10.0,10.0,10.0,10.0,10.0
"('Saskatchewan', 'M&P')",10.0,10.0,10.0,10.0,10.0
"('Manitoba', 'General/M&P/Investment')",13.0,12.0,12.0,12.0,12.0
"('Ontario', 'M&P')",12.0,10.0,10.0,10.0,10.0
"('Quebec', 'General/M&P')",11.9,11.9,11.9,11.9,11.9
"('New Brunswick', 'General/M&P/Investment')",13.0,12.0,11.0,10.0,10.0
"('Nova Scotia', 'General/M&P/Investment')",16.0,16.0,16.0,16.0,16.0
"('Prince Edward Island', 'General/Investment/M&P')",16.0,16.0,16.0,16.0,16.0
"('Newfoundland and Labrador', 'M&P')",5.0,5.0,5.0,5.0,5.0
"('Yukon', 'M&P')",2.5,2.5,2.5,2.5,2.5
"('Northwest Territories', 'General/M&P/Investment')",11.5,11.5,11.5,11.5,11.5
"('Nunavut', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
